山名,海拔(m),難度,完登狀態,登頂日期,經度,緯度
合歡北峰,3422,A,TRUE,2021/3/20,121.284,24.18
雪山東峰,3201,A,TRUE,2021/4/4,121.271,24.387
合歡東峰,3416,A,TRUE,2021/9/24,121.281,24.136
玉山北峰,3858,B,TRUE,2022/2/11,120.959,23.485
玉山主峰,3952,A,TRUE,2022/2/11,120.957,23.47
合歡西峰,3145,B,TRUE,2022/8/21,121.246,24.168
加利山,3112,A,TRUE,2024/2/28,121.232,24.444
大霸尖山,3492,B,TRUE,2024/2/28,121.25,24.458
小霸尖山,3418,B,TRUE,2024/2/28,121.245,24.455
雪山北峰,3703,B,TRUE,2024/3/10,121.248,24.404
西巒大山,3081,A,TRUE,2024/11/3,120.941,23.681
雪山東峰,3201,A,TRUE,2024/12/7,121.271,24.387
雪山主峰,3886,A,TRUE,2024/12/7,121.231,24.383
志佳陽大山,3345,A,TRUE,2024/12/14,121.238,24.341
品田山,3524,B,TRUE,2024/12/28,121.265,24.428
池有山,3303,A,TRUE,2024/12/28,121.279,24.425
桃山,3325,A,TRUE,2024/12/28,121.288,24.432
喀拉業山,3133,A,TRUE,2024/12/29,121.303,24.45
北大武山,3092,A,TRUE,2025/2/28,120.76,22.626
白姑大山,3341,B,TRUE,2025/3/9,121.109,24.202
羊頭山,3035,A,TRUE,2025/3/23,121.35,24.195
屏風山,3250,B,TRUE,2025/4/27,121.332,24.159
關山,3668,B,TRUE,2025/5/18,120.908,23.243
鈴鳴山,3272,B,TRUE,2025/6/28,121.328,24.238
閂山,3168,A,TRUE,2025/6/28,121.291,24.264
畢祿山,3371,A,TRUE,2025/8/24,121.316,24.209
奇萊主峰,3560,B,TRUE,2025/8/30,121.325,24.103
奇萊北峰,3607,B,TRUE,2025/8/30,121.332,24.116
玉山主峰,3952,A,TRUE,2025/9/5,120.957,23.47
玉山東峰,3869,C+,TRUE,2025/9/5,120.963,23.471
大劍山,3594,B,TRUE,2025/9/27,121.198,24.327
玉山前峰,3239,A,TRUE,2025/10/12,120.931,23.472
玉山西峰,3517,A,TRUE,2025/10/12,120.938,23.469
玉山主峰,3952,A,TRUE,2025/10/12,120.957,23.47
庫哈諾辛山,3115,A,TRUE,2025/12/13,120.908,23.275
關山嶺山,3176,A,TRUE,2025/12/14,120.959,23.273
塔關山,3222,A,TRUE,2025/12/14,120.941,23.284
大霸尖山,3492,B,TRUE,2026/1/26,121.25,24.458
伊澤山,3297,A,TRUE,2026/1/26,121.244,24.469
奇萊南峰,3358,A,TRUE,2026/3/24,121.281,24.061
南華山,3184,A,TRUE,2026/3/24,121.282,24.038
小關山,3249,B,FALSE,2026/4/5,120.895,23.166
海諾南山,3175,B,FALSE,2026/4/5,120.904,23.203
審馬陣山,3141,A,FALSE,2026/5/1,121.398,24.382
南湖北山,3536,B,FALSE,2026/5/1,121.437,24.383
南湖東峰,3632,B,FALSE,2026/5/2,121.448,24.363
馬比杉山,3211,C,FALSE,2026/5/2,121.465,24.34
南湖主峰,3742,B,FALSE,2026/5/3,121.439,24.361
南湖南峰,3475,C,FALSE,2026/5/3,121.435,24.341
巴巴山,3442,C,FALSE,2026/5/3,121.434,24.336
玉山南峰,3844,C+,FALSE,2026/6/6,120.957,23.454
東小南山,3711,B,FALSE,2026/6/6,120.962,23.444
鹿山,2981,C+,FALSE,2026/6/7,120.984,23.45
南玉山,3383,B,FALSE,2026/6/7,120.932,23.441
無名山,3451,C,FALSE,2026/7/25,121.341,24.258
甘薯峰,3158,C,FALSE,2026/7/25,121.34,24.265
秀姑巒山,3829,B,FALSE,,121.066,23.498
馬博拉斯山,3776,C+,FALSE,,121.076,23.518
中央尖山,3698,C+,FALSE,,121.416,24.31
大水窟山,3643,B,FALSE,,121.065,23.469
東郡大山,3617,C,FALSE,,121.099,23.612
向陽山,3603,A,FALSE,,120.985,23.284
雲峰,3562,B,FALSE,,120.985,23.361
馬利加南山,3561,C,FALSE,,121.118,23.522
大雪山,3530,C,FALSE,,121.135,24.316
頭鷹山,3509,C,FALSE,,121.171,24.352
三叉山,3496,A,FALSE,,121.038,23.284
東巒大山,3479,C,FALSE,,121.096,23.645
馬西山,3443,C,FALSE,,121.205,23.486
卓社大山,3368,C,FALSE,,121.065,23.829
南雙頭山,3359,B,FALSE,,121.026,23.333
能高山南峰,3348,B,FALSE,,121.268,23.945
新康山,3338,C,FALSE,,121.127,23.322
八通關山,3331,A,FALSE,,121.006,23.488
丹大山,3329,C,FALSE,,121.215,23.593
佳陽山,3314,C,FALSE,,121.181,24.322
火石山,3309,C,FALSE,,121.205,24.398
卑南主山,3292,C,FALSE,,120.88,23.056
干卓萬山,3284,C,FALSE,,121.056,23.837
太魯閣大山,3282,C,FALSE,,121.385,24.062
郡大山,3278,A,FALSE,,120.962,23.577
喀西帕南山,3278,C,FALSE,,121.205,23.486
轆轆山,3278,B,FALSE,,121.066,23.364
內嶺爾山,3275,C,FALSE,,121.229,23.619
能高山,3261,B,FALSE,,121.259,23.989
萬東山西峰,3257,,FALSE,,121.115,23.812
劍山,3256,C,FALSE,,121.168,24.316
義西請馬至山,3252,C,FALSE,,121.168,23.568
無雙山,3243,C,FALSE,,121.028,23.574
牧山,3241,C,FALSE,,121.115,23.812
達芬尖山,3206,B,FALSE,,121.037,23.468
中雪山,3172,C,FALSE,,121.146,24.323
白石山,3106,B,FALSE,,121.269,23.911
磐石山,3105,C,FALSE,,121.388,24.104
帕托魯山,3102,C,FALSE,,121.401,24.081
立霧主山,3071,C,FALSE,,121.373,24.085
塔芬山,3070,B,FALSE,,121.057,23.411
安東軍山,3066,B,FALSE,,121.272,23.871
光頭山,3060,B,FALSE,,121.268,23.953
盆駒山,3030,C,FALSE,,121.057,23.535
布拉克桑山,3021,B,FALSE,,121.092,23.238
六順山,3009,B,FALSE,,121.238,23.73
